source,mAP,F1,F1_CI,ms_img,params_K,PSNR,SSIM,LPIPS
LRN,0.0718,0.1861,"[0.175,0.198]",,,,,
BIC,0.0761,0.2192,"[0.208,0.231]",,,28.0027,0.6866,0.5323
SWINIR,0.1068,0.3217,"[0.310,0.333]",36.6785,658.576,28.6042,0.7069,0.2594
SPAN,0.0727,0.2372,"[0.225,0.249]",16.3422,2236.728,24.9965,0.6254,0.4996
HR,0.2259,0.6391,"[0.629,0.649]",,,,,
